movie,metascore,imdb,tmeter,audience
The Conjuring 2,6.5,7.4,8.0,8.2
The Darkness,2.7,4.3,0.4,2.0
The Disappointments Room,3.1,3.9,0.0,1.8
The Duel,4.2,5.7,2.2,3.0
The Edge of Seventeen,7.7,7.5,9.5,8.4
The Finest Hours,5.8,6.8,6.3,6.6
The Forest,3.4,4.8,1.0,2.2
The Founder,6.6,7.2,8.3,8.1
The Girl on the Train,4.8,6.5,4.4,5.0
The Girl with All the Gifts,6.7,6.7,8.4,6.7
The Great Wall,4.2,6.2,3.5,5.1
The Huntsman: Winter's War,3.5,6.1,1.7,4.6
The Infiltrator,6.6,7.1,6.9,7.2
The Jungle Book,7.7,7.5,9.5,8.7
The Last Word,4.1,6.7,3.5,5.6
The Legend of Tarzan,4.4,6.3,3.6,6.0
The LEGO Batman Movie,7.5,7.6,9.1,8.3
The Light Between Oceans,6.0,7.2,5.9,6.2
The Magnificent Seven,5.4,7.0,6.3,7.3
The Neon Demon,5.1,6.3,5.7,5.2
The Nice Guys,7.0,7.4,9.2,7.9
The Other Side of the Door,4.1,5.3,3.9,3.0
The Perfect Match,4.1,4.8,2.7,4.5
The Purge: Election Year,5.5,6.0,5.4,4.9
The Secret Life of Pets,6.1,6.6,7.4,6.3
The Shack,3.2,6.7,2.1,8.6
The Shallows,5.9,6.4,7.8,6.0
The Space Between Us,3.3,6.3,1.7,6.4
The Take (Bastille Day),4.8,6.3,4.6,4.3
The Whole Truth,4.6,6.1,2.9,3.3
The Wild Life,3.6,5.3,1.5,2.8
Triple 9,5.2,6.3,5.2,4.2
Trolls,5.6,6.5,7.4,6.9
Under the Shadow,8.4,7.0,9.8,7.6
Underworld: Blood Wars,2.3,5.9,1.7,5.5
War Dogs,5.7,7.1,6.0,7.0
War on Everyone,5.0,5.9,5.6,4.1
Warcraft,3.2,7.0,2.8,7.1
Whiskey Tango Foxtrot,5.7,6.6,6.7,5.5
Why Him?,3.9,6.4,4.0,5.7
X-Men: Apocalypse,5.2,7.1,4.8,6.7
XX,6.4,4.7,7.1,1.7
xXx: Return of Xander Cage,4.2,5.4,4.3,4.5
Zoolander 2,3.4,4.8,2.3,2.1
Zootopia,7.8,8.1,9.8,9.2
